book,chapter,verse,verse_id,canonical_reference,full_text,text_clean,word_count,sources,source_count,primary_source,source_sequence,text_J,text_E,text_P,text_R,text_UNKNOWN,source_percentages,source_confidence,narrative_context,theological_themes,literary_features,cross_references,redaction_indicators,source_boundaries,translation_notes,scholarly_notes,metadata
Exodus,25,15,Exodus_25_15,Exodus 25:15,The staves shall be in the rings of the ark: they shall not be taken from it.,The staves shall be in the rings of the ark: they shall not be taken from it.,17,P,1,P,P,,,The staves shall be in the rings of the ark: they shall not be taken from it.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,16,Exodus_25_16,Exodus 25:16,And thou shalt put into the ark the testimony which I shall give thee.,And thou shalt put into the ark the testimony which I shall give thee.,14,P,1,P,P,,,And thou shalt put into the ark the testimony which I shall give thee.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,17,Exodus_25_17,Exodus 25:17,"And thou shalt make a mercy seat of pure gold: two cubits and a half shall be the length thereof, and a cubit and a half the breadth thereof.","And thou shalt make a mercy seat of pure gold: two cubits and a half shall be the length thereof, and a cubit and a half the breadth thereof.",29,P,1,P,P,,,"And thou shalt make a mercy seat of pure gold: two cubits and a half shall be the length thereof, and a cubit and a half the breadth thereof.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,18,Exodus_25_18,Exodus 25:18,"And thou shalt make two cherubims of gold, of beaten work shalt thou make them, in the two ends of the mercy seat.","And thou shalt make two cherubims of gold, of beaten work shalt thou make them, in the two ends of the mercy seat.",23,P,1,P,P,,,"And thou shalt make two cherubims of gold, of beaten work shalt thou make them, in the two ends of the mercy seat.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,19,Exodus_25_19,Exodus 25:19,"And make one cherub on the one end, and the other cherub on the other end: even of the mercy seat shall ye make the cherubims on the two ends thereof.","And make one cherub on the one end, and the other cherub on the other end: even of the mercy seat shall ye make the cherubims on the two ends thereof.",31,P,1,P,P,,,"And make one cherub on the one end, and the other cherub on the other end: even of the mercy seat shall ye make the cherubims on the two ends thereof.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,20,Exodus_25_20,Exodus 25:20,"And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.","And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.",36,P,1,P,P,,,"And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,21,Exodus_25_21,Exodus 25:21,And thou shalt put the mercy seat above upon the ark; and in the ark thou shalt put the testimony that I shall give thee.,And thou shalt put the mercy seat above upon the ark; and in the ark thou shalt put the testimony that I shall give thee.,25,P,1,P,P,,,And thou shalt put the mercy seat above upon the ark; and in the ark thou shalt put the testimony that I shall give thee.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,22,Exodus_25_22,Exodus 25:22,"And there I will meet with thee, and I will commune with thee from above the mercy seat, from between the two cherubims which are upon the ark of the testimony, of all things which I will give thee in commandment unto the children of Israel.","And there I will meet with thee, and I will commune with thee from above the mercy seat, from between the two cherubims which are upon the ark of the testimony, of all things which I will give thee in commandment unto the children of Israel.",46,P,1,P,P,,,"And there I will meet with thee, and I will commune with thee from above the mercy seat, from between the two cherubims which are upon the ark of the testimony, of all things which I will give thee in commandment unto the children of Israel.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,23,Exodus_25_23,Exodus 25:23,"Thou shalt also make a table of shittim wood: two cubits shall be the length thereof, and a cubit the breadth thereof, and a cubit and a half the height thereof.","Thou shalt also make a table of shittim wood: two cubits shall be the length thereof, and a cubit the breadth thereof, and a cubit and a half the height thereof.",31,P,1,P,P,,,"Thou shalt also make a table of shittim wood: two cubits shall be the length thereof, and a cubit the breadth thereof, and a cubit and a half the height thereof.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,24,Exodus_25_24,Exodus 25:24,"And thou shalt overlay it with pure gold, and make thereto a crown of gold round about.","And thou shalt overlay it with pure gold, and make thereto a crown of gold round about.",17,P,1,P,P,,,"And thou shalt overlay it with pure gold, and make thereto a crown of gold round about.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,25,Exodus_25_25,Exodus 25:25,"And thou shalt make unto it a border of an hand breadth round about, and thou shalt make a golden crown to the border thereof round about.","And thou shalt make unto it a border of an hand breadth round about, and thou shalt make a golden crown to the border thereof round about.",27,P,1,P,P,,,"And thou shalt make unto it a border of an hand breadth round about, and thou shalt make a golden crown to the border thereof round about.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,26,Exodus_25_26,Exodus 25:26,"And thou shalt make for it four rings of gold, and put the rings in the four corners that are on the four feet thereof.","And thou shalt make for it four rings of gold, and put the rings in the four corners that are on the four feet thereof.",25,P,1,P,P,,,"And thou shalt make for it four rings of gold, and put the rings in the four corners that are on the four feet thereof.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,27,Exodus_25_27,Exodus 25:27,Over against the border shall the rings be for places of the staves to bear the table.,Over against the border shall the rings be for places of the staves to bear the table.,17,P,1,P,P,,,Over against the border shall the rings be for places of the staves to bear the table.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,28,Exodus_25_28,Exodus 25:28,"And thou shalt make the staves of shittim wood, and overlay them with gold, that the table may be borne with them.","And thou shalt make the staves of shittim wood, and overlay them with gold, that the table may be borne with them.",22,P,1,P,P,,,"And thou shalt make the staves of shittim wood, and overlay them with gold, that the table may be borne with them.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,29,Exodus_25_29,Exodus 25:29,"And thou shalt make the dishes thereof, and spoons thereof, and covers thereof, and bowls thereof, to cover withal: of pure gold shalt thou make them.","And thou shalt make the dishes thereof, and spoons thereof, and covers thereof, and bowls thereof, to cover withal: of pure gold shalt thou make them.",26,P,1,P,P,,,"And thou shalt make the dishes thereof, and spoons thereof, and covers thereof, and bowls thereof, to cover withal: of pure gold shalt thou make them.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,30,Exodus_25_30,Exodus 25:30,And thou shalt set upon the table shewbread before me alway.,And thou shalt set upon the table shewbread before me alway.,11,P,1,P,P,,,And thou shalt set upon the table shewbread before me alway.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,31,Exodus_25_31,Exodus 25:31,"And thou shalt make a candlestick of pure gold: of beaten work shall the candlestick be made: his shaft, and his branches, his bowls, his knops, and his flowers, shall be of the same.","And thou shalt make a candlestick of pure gold: of beaten work shall the candlestick be made: his shaft, and his branches, his bowls, his knops, and his flowers, shall be of the same.",34,P,1,P,P,,,"And thou shalt make a candlestick of pure gold: of beaten work shall the candlestick be made: his shaft, and his branches, his bowls, his knops, and his flowers, shall be of the same.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,32,Exodus_25_32,Exodus 25:32,"And six branches shall come out of the sides of it; three branches of the candlestick out of the one side, and three branches of the candlestick out of the other side:","And six branches shall come out of the sides of it; three branches of the candlestick out of the one side, and three branches of the candlestick out of the other side:",32,P,1,P,P,,,"And six branches shall come out of the sides of it; three branches of the candlestick out of the one side, and three branches of the candlestick out of the other side:",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,33,Exodus_25_33,Exodus 25:33,"Three bowls made like unto almonds, with a knop and a flower in one branch; and three bowls made like almonds in the other branch, with a knop and a flower: so in the six branches that come out of the candlestick.","Three bowls made like unto almonds, with a knop and a flower in one branch; and three bowls made like almonds in the other branch, with a knop and a flower: so in the six branches that come out of the candlestick.",42,P,1,P,P,,,"Three bowls made like unto almonds, with a knop and a flower in one branch; and three bowls made like almonds in the other branch, with a knop and a flower: so in the six branches that come out of the candlestick.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,34,Exodus_25_34,Exodus 25:34,"And in the candlesticks shall be four bowls made like unto almonds, with their knops and their flowers.","And in the candlesticks shall be four bowls made like unto almonds, with their knops and their flowers.",18,P,1,P,P,,,"And in the candlesticks shall be four bowls made like unto almonds, with their knops and their flowers.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,35,Exodus_25_35,Exodus 25:35,"And there shall be a knop under two branches of the same, and a knop under two branches of the same, and a knop under two branches of the same, according to the six branches that proceed out of the candlestick.","And there shall be a knop under two branches of the same, and a knop under two branches of the same, and a knop under two branches of the same, according to the six branches that proceed out of the candlestick.",41,P,1,P,P,,,"And there shall be a knop under two branches of the same, and a knop under two branches of the same, and a knop under two branches of the same, according to the six branches that proceed out of the candlestick.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,36,Exodus_25_36,Exodus 25:36,Their knops and their branches shall be of the same: all it shall be one beaten work of pure gold.,Their knops and their branches shall be of the same: all it shall be one beaten work of pure gold.,20,P,1,P,P,,,Their knops and their branches shall be of the same: all it shall be one beaten work of pure gold.,,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,37,Exodus_25_37,Exodus 25:37,"And thou shalt make the seven lamps thereof: and they shall light the lamps thereof, that they may give light over against it.","And thou shalt make the seven lamps thereof: and they shall light the lamps thereof, that they may give light over against it.",23,P,1,P,P,,,"And thou shalt make the seven lamps thereof: and they shall light the lamps thereof, that they may give light over against it.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,38,Exodus_25_38,Exodus 25:38,"And the tongs thereof, and the snuffdishes thereof, shall be of pure gold.","And the tongs thereof, and the snuffdishes thereof, shall be of pure gold.",13,P,1,P,P,,,"And the tongs thereof, and the snuffdishes thereof, shall be of pure gold.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
Exodus,25,39,Exodus_25_39,Exodus 25:39,"Of a talent of pure gold shall he make it, with all these vessels.","Of a talent of pure gold shall he make it, with all these vessels.",14,P,1,P,P,,,"Of a talent of pure gold shall he make it, with all these vessels.",,,J:0.0;E:0.0;P:100.0;R:0.0;UNKNOWN:0.0,high,,,,,none,none,,,"{""parsing_version"": ""2.0"", ""source_colors"": [""#888800""], ""segments"": 1, ""has_redaction"": false, ""is_multi_source"": false, ""source_complexity"": ""low""}"
